,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NAME,SALARY
124,2020-21,23.0,NOP,NBA,SF,61.0,61.0,34.3,8.4,18.0,0.466,2.3,6.1,0.381,6.1,11.9,0.51,0.531,4.6,5.2,0.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2.0,23.8,Brandon Ingram,27285000
125,2020-21,25.0,LAL,NBA,SF,62,30,28.7,4.9,11.1,0.43799999999999994,2.1,5.7,0.365,2.8,5.5,0.515,0.531,0.9,1.3,0.687,1.7,4.5,6.2,1.8,0.5,0.6,1.7,1.7,12.7,Kyle Kuzma,3562178
126,2020-21,32.0,MIL,NBA,C,65.0,65.0,27.2,4.4,9.0,0.491,1.4,4.1,0.34299999999999997,3.0,4.8,0.616,0.569,1.6,1.9,0.851,1.4,3.5,4.9,0.8,0.6,1.5,0.9,2.2,11.8,Brook Lopez,12697675
127,2020-21,26.0,NYK,NBA,PF,65.0,65.0,37.3,8.5,18.4,0.461,2.3,5.4,0.42,6.2,13.0,0.478,0.523,4.8,6.0,0.809,1.2,9.0,10.2,5.9,0.9,0.3,3.4,3.1,24.1,Julius Randle,18900000
128,2020-21,23.0,LAC,NBA,C,66.0,27.0,22.6,3.6,5.6,0.644,0.0,0.0,0.0,3.6,5.5,0.649,0.644,1.9,2.5,0.784,2.7,4.6,7.3,1.3,0.4,0.9,1.2,2.6,9.1,Ivica Zubac,7000000
129,2020-21,25.0,MEM,NBA,SF,61,61,29.4,6.3,15.1,0.42,2.0,5.5,0.354,4.4,9.6,0.457,0.484,2.4,2.8,0.8370000000000001,0.8,2.1,2.9,2.3,1.1,0.4,1.8,3.5,17.0,Dillon Brooks,11400000
130,2020-21,33.0,UTA,NBA,PG,49.0,49.0,29.8,5.7,12.7,0.446,2.7,6.7,0.40700000000000003,2.9,6.0,0.49,0.5539999999999999,2.4,2.8,0.853,0.7,2.7,3.4,6.0,1.4,0.2,2.0,1.9,16.4,Mike Conley,34504132
131,2020-21,36.0,LAL,NBA,C,47,42,19.2,1.8,4.0,.457,1.0,2.5,.405,0.8,1.5,.543,.583,0.7,1.0,.729,0.8,3.4,4.1,2.0,0.5,1.2,1.1,2.2,5.4,Marc Gasol,2564753
132,2020-21,30.0,DEN,NBA,PF,52.0,4.0,18.9,3.0,6.4,0.46799999999999997,1.3,3.3,0.402,1.7,3.1,0.541,0.574,0.8,0.9,0.833,1.5,3.5,4.9,0.8,0.5,0.4,0.9,2.4,8.1,JaMychal Green,7199760
133,2020-21,27.0,TOT,NBA,SG,46.0,5.0,16.8,2.6,7.0,0.37,1.8,5.3,0.344,0.8,1.7,0.449,0.5,0.8,1.2,0.736,0.3,1.6,1.9,0.7,0.5,0.1,0.8,1.7,7.8,Ben McLemore,2852708
134,2020-21,27.0,TOT,NBA,SG,46.0,5.0,16.8,2.6,7.0,0.37,1.8,5.3,0.344,0.8,1.7,0.449,0.5,0.8,1.2,0.736,0.3,1.6,1.9,0.7,0.5,0.1,0.8,1.7,7.8,Ben McLemore,2852708
135,2020-21,23.0,MIA,NBA,C,59,59,33.5,7.2,12.7,0.5670000000000001,0.0,0.1,0.25,7.2,12.5,0.57,0.568,4.5,5.7,0.797,2.3,6.8,9.1,5.4,1.2,1.0,2.7,2.2,18.9,Bam Adebayo,5115492
136,2020-21,34.0,MIA,NBA,PG,45.0,11.0,26.7,4.7,10.8,0.43,1.6,4.7,0.35100000000000003,3.0,6.2,0.491,0.506,2.2,2.6,0.8290000000000001,0.5,3.0,3.5,4.5,0.7,0.2,2.4,2.2,13.1,Goran Dragić,18000000
137,2020-21,33.0,DET,NBA,SG,44.0,30.0,21.9,3.2,7.3,0.445,2.5,5.9,0.42100000000000004,0.8,1.4,0.55,0.616,0.6,0.8,0.8,0.3,1.6,1.9,1.4,0.4,0.2,0.7,1.3,9.6,Wayne Ellington,3005225
138,2020-21,33.0,DET,NBA,SG,44.0,30.0,21.9,3.2,7.3,0.445,2.5,5.9,0.42100000000000004,0.8,1.4,0.55,0.616,0.6,0.8,0.8,0.3,1.6,1.9,1.4,0.4,0.2,0.7,1.3,9.6,Wayne Ellington,3005225
139,2020-21,33.0,TOT,NBA,PF,45.0,6.0,19.8,2.7,6.1,0.436,0.6,2.4,0.25,2.1,3.7,0.557,0.485,0.8,1.3,0.617,0.6,2.7,3.3,1.9,0.8,0.9,1.1,2.4,6.8,James Johnson,16047100
140,2020-21,28.0,BRK,NBA,SG,36.0,3.0,17.4,1.8,4.7,0.38799999999999996,1.3,3.4,0.363,0.6,1.3,0.457,0.521,0.5,0.6,0.857,0.2,1.8,1.9,1.1,0.4,0.0,0.4,1.0,5.4,Tyler Johnson,2028594
141,2020-21,29.0,DET,NBA,SG,16.0,2.0,12.1,2.3,4.4,0.529,0.7,1.5,0.45799999999999996,1.6,2.9,0.565,0.607,0.4,0.5,0.75,0.5,0.9,1.4,1.0,0.5,0.1,0.4,0.8,5.7,Rodney McGruder,5000000
142,2020-21,29.0,TOT,NBA,"C,PF",65.0,57.0,28.6,4.8,9.8,0.489,1.8,5.3,0.337,3.0,4.4,0.672,0.581,1.6,1.9,0.825,1.3,5.6,6.9,2.6,1.1,0.6,1.7,2.9,12.9,Kelly Olynyk,12198243
143,2020-21,27.0,DAL,NBA,SG,52.0,52.0,31.3,4.4,10.5,0.424,1.5,4.7,0.322,2.9,5.8,0.507,0.496,1.8,2.0,0.912,0.8,2.6,3.4,2.7,0.9,0.4,1.4,2.3,12.2,Josh Richardson,10800000
144,2020-21,31.0,SAC,NBA,C,36,4,15.2,3.5,6.2,.563,0.0,0.0,.000,3.5,6.2,.565,.563,1.1,2.2,.519,1.7,4.3,6.0,0.6,0.3,1.3,1.1,2.0,8.1,Hassan Whiteside,2320044
145,2020-21,24.0,MEM,NBA,SF,24.0,0.0,19.3,2.7,8.0,0.34,0.3,2.0,0.125,2.5,6.0,0.413,0.35600000000000004,0.7,1.2,0.586,0.7,3.6,4.3,1.8,0.6,0.5,1.4,1.8,6.4,Justise Winslow,13000000
146,2020-21,30.0,TOT,NBA,C,36,11,18.1,3.2,7.7,.410,1.3,3.6,.351,1.9,4.1,.463,.493,1.6,2.2,.718,1.4,5.5,6.9,2.0,0.7,0.6,1.7,2.6,9.2,DeMarcus Cousins,2666959
