,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY,NAME
68,2019-20,34.0,LAL,NBA,SG,6.0,0.0,13.2,1.2,3.7,0.318,0.2,1.8,0.091,1.0,1.8,0.545,0.341,0.3,0.3,1.0,0.0,0.8,0.8,0.5,0.2,0.0,0.7,0.8,2.8,1456667,J.R. Smith
69,2019-20,30.0,WAS,NBA,PG,40.0,37.0,23.1,4.4,10.7,0.408,2.0,4.7,0.413,2.4,5.9,0.405,0.5,1.6,1.9,0.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2,2320044,Isaiah Thomas
70,2019-20,28.0,CLE,NBA,PF,57.0,51.0,30.2,5.1,9.9,0.512,0.2,0.4,0.391,4.9,9.5,0.518,0.52,1.7,2.8,0.615,4.0,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12.0,18539130,Tristan Thompson
71,2019-20,23.0,CLE,NBA,C,22,0,10.0,1.9,3.3,0.569,0.0,0.0,0,1.9,3.3,0.569,0.569,0.6,0.9,0.737,0.8,2.2,3.0,0.3,0.3,0.2,0.5,1.2,4.4,2281800,Ante Žižić
72,2019-20,27.0,SAC,NBA,PF,72.0,72.0,34.5,5.1,11.0,0.46,1.4,3.7,0.381,3.7,7.3,0.501,0.525,3.0,3.7,0.8009999999999999,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5,24147727,Harrison Barnes
73,2019-20,26.0,SAC,NBA,PG,50.0,0.0,10.6,1.6,3.8,0.42,0.5,1.6,0.304,1.1,2.2,0.505,0.484,0.7,0.8,0.857,0.1,0.9,1.0,1.4,0.4,0.1,0.6,0.8,4.4,3150000,Yogi Ferrell
74,2019-20,26.0,DAL,NBA,PF,71,68,29.9,3.4,7.4,0.466,1.6,4.3,0.376,1.8,3.1,0.589,0.575,1.1,1.5,0.722,2.0,3.7,5.7,1.6,0.6,0.5,1.0,2.5,9.5,4000000,Dorian Finney-Smith
75,2019-20,33.0,MIL,NBA,SG,67.0,67.0,24.4,2.5,6.3,0.396,1.6,4.4,0.364,0.9,1.9,0.47200000000000003,0.524,0.8,1.0,0.765,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4,2564753,Wesley Matthews
76,2019-20,28.0,IND,NBA,PF,69.0,0.0,19.9,3.9,7.9,0.488,1.9,4.3,0.435,2.0,3.7,0.5489999999999999,0.605,0.7,0.8,0.828,0.4,2.1,2.5,1.1,0.2,0.1,0.6,1.7,10.3,7333334,Doug McDermott
77,2019-20,24.0,LAC,NBA,PF,13.0,0.0,3.2,0.8,1.2,0.733,0.1,0.1,1.0,0.8,1.1,0.7140000000000001,0.767,0.4,0.5,0.7140000000000001,0.2,0.5,0.8,0.6,0.2,0.0,0.4,0.5,2.2,850000,Johnathan Motley
78,2019-20,25.0,OKC,NBA,C,61,7,18.5,3.0,4.4,.684,0.0,0.0,.333,3.0,4.4,.688,.686,1.3,1.7,.755,1.5,3.4,4.9,0.9,1.0,1.5,1.1,2.7,7.4,2028594,Nerlens Noel
79,2019-20,28.0,DAL,NBA,C,40.0,37.0,26.5,3.7,5.7,0.638,0.3,1.0,0.256,3.4,4.8,0.716,0.659,1.9,2.8,0.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4,10259375,Dwight Powell
80,2019-20,29.0,DEN,NBA,SF,58.0,58.0,33.0,5.7,12.7,0.45,1.9,5.0,0.375,3.9,7.8,0.498,0.523,1.8,2.3,0.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1,12776786,Will Barton
81,2019-20,23.0,TOT,NBA,SG,55.0,14.0,22.0,4.1,9.7,0.425,1.9,5.0,0.38799999999999996,2.2,4.7,0.465,0.525,1.0,1.2,0.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2,2731714,Malik Beasley
82,2019-20,32.0,BRK,NBA,PF,35.0,3.0,21.0,2.1,5.2,0.40399999999999997,1.1,3.5,0.306,1.1,1.8,0.597,0.505,0.6,0.7,0.87,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9,2564753,Wilson Chandler
83,2019-20,29.0,DEN,NBA,SF,58.0,27.0,18.5,2.1,4.6,0.461,0.8,2.4,0.326,1.4,2.3,0.603,0.545,0.4,0.6,0.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4,2000000,Torrey Craig
84,2019-20,25.0,DEN,NBA,SG,56.0,55.0,31.8,3.9,9.3,0.42,1.3,3.8,0.33299999999999996,2.6,5.5,0.479,0.48700000000000004,1.3,1.6,0.815,0.5,2.4,2.9,2.1,1.4,0.3,1.1,2.1,10.4,17839286,Gary Harris
85,2019-20,24.0,TOT,NBA,PF,48.0,14.0,17.4,2.1,5.1,0.405,0.9,2.7,0.341,1.2,2.5,0.475,0.494,0.9,1.5,0.62,0.9,3.2,4.1,0.8,0.4,0.2,0.7,1.3,6.0,3321030,Juan Hernangómez
86,2019-20,24.0,DEN,NBA,C,73,73,32.0,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.8170000000000001,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9,26573595,Nikola Jokić
87,2019-20,24.0,SAS,NBA,PF,63.0,53.0,20.2,2.4,5.4,0.446,1.0,2.7,0.387,1.4,2.8,0.503,0.541,0.5,0.7,0.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4,5500000,Trey Lyles
88,2019-20,34.0,DEN,NBA,PF,51.0,48.0,24.3,4.1,8.6,0.48200000000000004,1.1,2.4,0.435,3.1,6.2,0.5,0.5429999999999999,2.3,2.8,0.816,1.9,3.8,5.7,1.6,0.9,0.6,1.4,2.9,11.6,30500000,Paul Millsap
89,2019-20,24.0,DEN,NBA,PG,73,12,22.4,3.6,7.8,0.45899999999999996,0.9,2.4,0.37799999999999995,2.7,5.4,0.495,0.517,1.0,1.2,0.843,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1.0,9.0,1588231,Monte Morris
90,2019-20,23.0,UTA,NBA,PG,54.0,2.0,15.7,2.8,6.1,0.462,0.6,1.6,0.345,2.2,4.4,0.504,0.508,1.2,1.5,0.759,0.3,2.0,2.3,2.1,0.4,0.2,1.4,1.3,7.3,1737145,Emmanuel Mudiay
91,2019-20,22.0,DEN,NBA,PG,59,59,32.3,6.9,15.2,0.456,1.9,5.5,0.34600000000000003,5.0,9.7,0.519,0.519,2.8,3.1,0.8809999999999999,0.8,3.2,4.0,4.8,1.1,0.3,2.2,1.7,18.5,4444746,Jamal Murray
92,2019-20,29.0,DEN,NBA,C,61.0,1.0,17.3,2.9,4.7,0.615,0.0,0.1,0.0,2.9,4.6,0.625,0.615,1.4,2.5,0.535,1.6,3.6,5.2,2.5,0.5,0.6,1.3,2.3,7.2,14041096,Mason Plumlee
93,2019-20,29.0,LAL,NBA,SG,49.0,44.0,24.2,3.5,7.8,0.444,1.3,3.5,0.364,2.2,4.3,0.51,0.526,0.4,0.5,0.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6,4767000,Avery Bradley
94,2019-20,28.0,NYK,NBA,SG,29.0,19.0,23.6,3.1,7.7,0.402,1.3,3.8,0.33299999999999996,1.8,3.9,0.469,0.484,0.6,0.7,0.81,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1,4000000,Reggie Bullock
95,2019-20,26.0,TOT,NBA,C,57.0,56.0,33.0,7.3,13.8,0.5329999999999999,0.1,0.6,0.14300000000000002,7.2,13.1,0.551,0.536,3.0,5.2,0.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7,27093019,Andre Drummond
96,2019-20,29.0,TOT,NBA,"SF,SG",69.0,18.0,18.3,2.3,5.2,0.446,0.8,2.4,0.325,1.5,2.8,0.5529999999999999,0.522,1.1,1.4,0.8059999999999999,1.0,2.5,3.6,0.9,0.5,0.3,0.8,2.0,6.6,1882867,James Ennis
97,2019-20,28.0,DET,NBA,SG,66.0,6.0,25.8,3.6,8.2,0.435,2.0,5.0,0.39899999999999997,1.6,3.2,0.493,0.557,1.1,1.3,0.8590000000000001,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3,7333333,Langston Galloway
98,2019-20,30.0,DET,NBA,PF,18,18,28.4,4.9,13.9,.352,1.5,6.2,.243,3.4,7.7,.439,.406,4.2,5.4,.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5,34234964,Blake Griffin
99,2019-20,27.0,PHI,NBA,PF,72.0,72.0,34.3,7.7,16.3,0.47100000000000003,1.8,5.0,0.36700000000000005,5.9,11.3,0.517,0.527,2.4,3.0,0.8059999999999999,1.0,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6,32742000,Tobias Harris
100,2019-20,29.0,TOT,NBA,"PG,SG",31.0,16.0,24.0,4.3,10.5,0.41100000000000003,1.8,4.7,0.39299999999999996,2.5,5.8,0.425,0.498,1.5,1.7,0.833,0.5,2.4,3.0,4.1,0.4,0.2,1.6,1.9,11.9,17286956,Reggie Jackson
101,2019-20,23.0,TOR,NBA,PF,25.0,0.0,6.0,0.9,2.4,0.373,0.3,1.0,0.292,0.6,1.4,0.429,0.43200000000000005,0.4,0.6,0.563,0.3,1.2,1.5,0.8,0.2,0.2,0.6,0.6,2.4,3623000,Stanley Johnson
102,2019-20,23.0,DET,NBA,SG,28.0,25.0,32.9,5.4,12.2,0.442,2.6,6.5,0.39899999999999997,2.8,5.7,0.491,0.5479999999999999,2.4,2.7,0.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8,3827160,Luke Kennard
103,2019-20,31.0,DAL,NBA,C,44.0,5.0,9.6,2.8,4.8,0.573,0.1,0.4,0.235,2.7,4.4,0.603,0.583,1.0,1.3,0.754,1.5,3.0,4.5,0.5,0.2,0.2,0.7,1.3,6.6,3500000,Boban Marjanović
104,2019-20,31.0,WAS,NBA,PG,68.0,23.0,26.3,4.5,10.1,0.447,0.9,2.5,0.36700000000000005,3.6,7.6,0.473,0.49200000000000005,0.9,1.3,0.721,0.4,2.8,3.2,4.9,0.9,0.4,1.4,1.6,10.9,6000000,Ish Smith
105,2019-20,34.0,TOT,NBA,PF,55.0,13.0,15.9,1.2,3.3,0.35700000000000004,0.9,2.6,0.33799999999999997,0.3,0.7,0.43200000000000005,0.49200000000000005,0.4,0.5,0.7240000000000001,0.6,2.2,2.8,0.8,0.3,0.2,0.6,1.3,3.6,2419852,Anthony Tolliver
